Gene,KRAS_mean,WT_mean,Diff,Pvalue,logP
KRAS (3845),-1.6748425148132604,-0.4840174059808558,-1.1908251088324047,0.00018815383295862865,3.725486930063616
RPL6 (6128),-3.145069367819048,-2.3900634532950877,-0.7550059145239603,0.007443940542388001,2.1281971044042374
PSMF1 (9491),-0.7680145958971724,-0.30663960746508445,-0.4613749884320879,0.0008823930008207147,3.054337945396738
RPL23 (9349),-3.2132341231663397,-2.806355527098384,-0.40687859606795573,0.0018121188918933445,2.7418133119575794
TCP1 (6950),-1.9288038423025267,-1.6186152759698427,-0.310188566332684,0.004500161475655395,2.3467719025073426
DHX8 (1659),-1.922706504411823,-1.6274636785416343,-0.2952428258701887,0.008013170637043385,2.0961956090451483
TSEN54 (283989),-1.1753751820413527,-0.8987223478435916,-0.2766528341977611,0.0032224678070666563,2.491811412619445
KDM5A (5927),-0.259719607049999,0.01408895777270361,-0.27380856482270266,0.004756056986221468,2.322752950383611
BCL9 (607),-0.3254650829375683,-0.07845506896491802,-0.2470100139726503,0.005912793797387731,2.2282072663109185
NF1 (4763),-0.19103338791379076,0.04578251216289984,-0.2368159000766906,0.0006637874870004534,3.177970938697339
SPRR2F (6705),-0.09389916875741032,0.11707818658599366,-0.21097735534340398,0.004160694878979928,2.3808341316557553
CTNNA2 (1496),-0.223462663055749,-0.02516109074060967,-0.1983015723151393,2.9088824284068403e-05,4.5362738317697895
FAM162A (26355),-0.2530250367291229,-0.06302334801336434,-0.19000168871575857,0.0013829543590804783,2.8591921524478656
ULBP2 (80328),-0.2532457165733351,-0.0778913063350833,-0.17535441023825182,0.0055606936507229775,2.2548710303799155
SPRYD4 (283377),-0.5221997675008585,-0.3515621084354382,-0.17063765906542028,0.009781348544540115,2.0096012653475754
HESX1 (8820),-0.25829429660207953,-0.08987649377315139,-0.16841780282892815,0.0024328071460922927,2.613892317171762
ALDOC (230),-0.3576065870193237,-0.1976615673647713,-0.15994501965455238,0.003828878325968378,2.41692843443584
ANKRD22 (118932),-0.19870304137805087,-0.04399453269441233,-0.15470850868363853,2.743604932606514e-05,4.561678425013921
ZNF45 (7596),-0.08563441088584851,0.06834605139509863,-0.15398046228094714,0.003938226807656833,2.4046992758877552
FXYD4 (53828),-0.13250862853695775,0.02137593965021082,-0.15388456818716856,0.0030880268314192826,2.5103189347978585
ARMT1 (79624),-0.0949459241210285,0.05055959357269724,-0.14550551769372572,0.007046164538577846,2.152047219604665
SAT2 (112483),-0.13888080476608058,0.001620252725090762,-0.14050105749117134,0.008355223013161163,2.078041953658957
TRIM23 (373),-0.1649884518601307,-0.026472018527581853,-0.13851643333254884,0.003417621297385326,2.466276062612291
IL3 (3562),-0.1845587338700532,-0.04858342213657603,-0.13597531173347716,0.004826568558702894,2.3163615205202053
PHYHIPL (84457),-0.09439874228099432,0.04147025921842508,-0.13586900149941938,0.0009442641995402641,3.024906475671086
WDR62 (284403),-0.26067873695242455,-0.12812820002638725,-0.1325505369260373,0.0035145184385225923,2.45413417386461
FILIP1 (27145),-0.09054184824987506,0.04003017564981076,-0.1305720238996858,0.004687683189662348,2.329041747167168
GNAI1 (2770),-0.1220630027387725,0.007403423784952245,-0.12946642652372475,0.00839883195986065,2.075781107826121
TNP1 (7141),-0.15771882441839186,-0.02862358810567606,-0.1290952363127158,0.003175808559672788,2.498145685081084
KRTAP15-1 (254950),-0.19989429116705956,-0.0712383195291849,-0.12865597163787468,0.003355426149879357,2.474252315200491
CD48 (962),-0.18239343008408196,-0.05443870310864995,-0.127954726975432,0.00836092183110123,2.0777458369043242
RCAN2 (10231),-0.047180715619077794,0.07921955427471725,-0.12640026989379505,0.003354660447312679,2.47435143177555
PLEKHA1 (59338),0.17851170189942733,0.29696766843185585,-0.11845596653242851,0.007239221102650813,2.1403081588053445
RNASE7 (84659),-0.008134770851317058,0.10906850670490419,-0.11720327755622124,0.0035410195254296927,2.4508716785050932
PLEKHB2 (55041),-0.09269603217301388,0.023188293587126593,-0.11588432576014047,0.001598346619388849,2.796329033179644
FSIP1 (161835),-0.07162585065380037,0.04227699653140853,-0.1139028471852089,0.0007596057861214355,3.1194117357846247
PKD2L1 (9033),-0.12744353799089125,-0.01366011108170484,-0.11378342690918641,0.0016674221394233284,2.777954436396888
TTLL7 (79739),-0.14117448437516913,-0.027520656610143236,-0.1136538277650259,0.007718139620227542,2.1124873693580493
KRTAP19-6 (337973),-0.19545383550381704,-0.08378791072306269,-0.11166592478075435,0.0003768885430068322,3.4237870644196953
CFAP119 (90835),-0.11226379732413037,-0.0006181387143163756,-0.111645658609814,0.008450733554987084,2.07310559104371
CELF2 (10659),-0.17879203788676687,-0.06743620443923644,-0.11135583344753043,0.009428354645146509,2.025564089964705
TAP2 (6891),-0.04421790785675634,0.06672348921322271,-0.11094139706997905,0.009747154695089404,2.0111221412821716
IDH1 (3417),-0.19322305471269108,-0.08235130950467172,-0.11087174520801936,0.004745478540296538,2.3237199862017026
ZDHHC4 (55146),-0.05081847972722527,0.05721601749008242,-0.10803449721730769,0.005294432992481196,2.276180543851515
TPH2 (121278),-0.25255866269256966,-0.1453903821127555,-0.10716828057981415,0.008008921345479765,2.0964259714626605
UQCR11 (10975),-0.23894611797536788,-0.13183539348015008,-0.1071107244952178,0.0071519230981924465,2.145577163984262
UBE2D1 (7321),-0.08998982834243968,0.015902401503795575,-0.10589222984623525,0.005168452415398352,2.2866394778087593
RLIG1 (91298),-0.06257468493717198,0.04326928574295613,-0.10584397068012812,0.0068912756939202785,2.1617003752553563
P3H4 (10609),-0.3133048471474769,-0.2077812890465353,-0.1055235581009416,0.001733777941691597,2.7610065267407546
CLDN5 (7122),-0.0610958910248952,0.04424787008784302,-0.10534376111273822,0.0022826649694948444,2.641557825950375
USP34 (9736),-0.1816548233149744,-0.07688277620741579,-0.10477204710755861,0.008327087022266578,2.079506896721227
